,index,id,parent_id,level,id.1,created_time,status_type,type,properties.0.text,message,link,permalink_url,comments.summary.total_count,shares.count,reactions.summary.total_count,like.summary.total_count,love.summary.total_count,wow.summary.total_count,haha.summary.total_count,sad.summary.total_count,angry.summary.total_count
0,2,622,2,2,211857482296579_1724945110987801,,,,,,,,7663.0,18709.0,92429.0,82471.0,8426.0,1149.0,326.0,14.0,43.0
1,4,623,3,2,211857482296579_1722770851205227,,,,,,,,2120.0,8068.0,58791.0,53414.0,4050.0,1175.0,104.0,14.0,34.0
2,6,624,4,2,211857482296579_562994224541231,,,,,,,,8231.0,4072.0,47923.0,40766.0,6626.0,122.0,281.0,22.0,106.0
3,8,625,5,2,211857482296579_2645151742265882,,,,,,,,34066.0,14985.0,91223.0,75540.0,13400.0,404.0,533.0,138.0,1208.0
4,10,626,6,2,211857482296579_1718728921609420,,,,,,,,2673.0,5943.0,39735.0,35430.0,3330.0,782.0,43.0,116.0,34.0
5,12,627,7,2,211857482296579_1717749905040655,,,,,,,,7418.0,15804.0,93458.0,78784.0,14026.0,475.0,127.0,25.0,21.0
6,14,628,8,2,211857482296579_1717169675098678,,,,,,,,10086.0,8931.0,100330.0,88969.0,10569.0,450.0,285.0,26.0,31.0
7,16,629,9,2,211857482296579_1714964591985853,,,,,,,,1340.0,4902.0,32263.0,29700.0,2170.0,265.0,102.0,3.0,23.0
8,18,630,10,2,211857482296579_1714784955337150,,,,,,,,4078.0,11238.0,78044.0,73399.0,4054.0,400.0,131.0,10.0,50.0
9,20,631,11,2,211857482296579_1713976298751349,,,,,,,,4589.0,31596.0,91368.0,83175.0,7020.0,327.0,796.0,12.0,38.0
10,22,632,12,2,211857482296579_998152100570522,,,,,,,,10135.0,5393.0,58501.0,50916.0,6919.0,150.0,377.0,38.0,101.0
11,24,633,13,2,211857482296579_2388743134565692,,,,,,,,9032.0,8012.0,54951.0,47898.0,6309.0,157.0,480.0,24.0,83.0
